,0
0,Balaenoptera_acutorostrata
1,Balaenoptera_musculus
2,Bos_indicus
3,Bos_taurus
4,Bubalus_bubalis
5,Callithrix_jacchus
6,Neogale_vison
7,Camelus_dromedarius
8,Camelus_ferus
9,Canis_lupus_familiaris
10,Capra_hircus
11,Cervus_canadensis
12,Cervus_elaphus
13,Choloepus_didactylus
14,Dasypus_novemcinctus
15,Desmodus_rotundus
16,Dromiciops_gliroides
17,Equus_asinus
18,Equus_caballus
19,Erinaceus_europaeus
20,Felis_catus
21,Globicephala_melas
22,Gorilla_gorilla
23,Gracilinanus_agilis
24,Ictidomys_tridecemlineatus
25,Jaculus_jaculus
26,Loxodonta_africana
27,Lynx_canadensis
28,Macaca_fascicularis
29,Macaca_mulatta
30,Manis_pentadactyla
31,Mastomys_coucha
32,Meriones_unguiculatus
33,Microcebus_murinus
34,Microtus_ochrogaster
35,Monodelphis_domestica
36,Mus_caroli
37,Mus_musculus
38,Mus_pahari
39,Mustela_erminea
40,Leopardus_geoffroyi
41,Nomascus_leucogenys
42,Meles_meles
43,Lutra_lutra
44,Phacochoerus_africanus
45,Prionailurus_viverrinus
46,Elephas_maximus
47,Macaca_thibetana
48,Sciurus_carolinensis
49,Antechinus_flavipes
50,Apodemus_sylvaticus
51,Budorcas_taxicolor
52,Nycticebus_coucang
53,Pongo_pygmaeus
54,Muntiacus_reevesi
55,Symphalangus_syndactylus
56,Hippopotamus_amphibius
57,Diceros_bicornis
58,Neofelis_nebulosa
59,Chionomys_nivalis
60,Kogia_breviceps
61,Mustela_lutreola
62,Mustela_nigripes
63,Delphinus_delphis
64,Mesoplodon_densirostris
65,Lagenorhynchus_albirostris
66,Panthera_onca
67,Dama_dama
68,Eubalaena_glacialis
69,Bos_javanicus
70,Lepus_europaeus
71,Phocoena_phocoena
72,Saccopteryx_leptura
73,Ovis_aries
74,Prionailurus_bengalensis
75,Pongo_abelii
76,Ursus_arctos
77,Rhinolophus_ferrumequinum
78,Ursus_maritimus
79,Panthera_leo
80,Lemur_catta
81,Peromyscus_leucopus
82,Pan_paniscus
83,Theropithecus_gelada
84,Pan_troglodytes
85,Homo_sapiens
86,Oryctolagus_cuniculus
87,Peromyscus_maniculatus
88,Ornithorhynchus_anatinus
89,Trichosurus_vulpecula
90,Panthera_tigris
91,Rhinopithecus_roxellana
92,Suricata_suricatta
93,Tachyglossus_aculeatus
94,Phyllostomus_discolor
95,Physeter_catodon
96,Rattus_norvegicus
97,Sus_scrofa
98,Zalophus_californianus
99,Tursiops_truncatus
100,Papio_anubis
101,Rattus_rattus
102,Ochotona_princeps
103,Vicugna_pacos
104,Vulpes_lagopus
105,Orcinus_orca
106,Sorex_araneus
107,Phocoena_sinus
