,organism_name
0,Ailuropoda_mleanoleuca
243,Neogale_vison
443,Aotus_nancymaae
1043,Artibeus_jamaicensis
1172,Balaenoptera_acutorostrata
1641,Balaenoptera_musculus
2034,Bison_bison
2544,Bos_indicus
2972,Bos_mutus
3460,Bos_taurus
3901,Bubalus_bubalis
4353,Callithrix_jacchus
4976,Callorhinus_ursinus
5346,Camelus_bactrianus
5783,Camelus_dromedarius
6348,Camelus_ferus
6807,Canis_lupus_familiaris
7129,Capra_hircus
7634,Carlito_syrichta
9203,Castor_canadensis
9864,Cavia_porcellus
10440,Cebus_imitator
11054,Ceratotherium_simum
11421,Cercocebus_atys
12182,Cervus_canadensis
12827,Cervus_elaphus
13456,Chinchilla_lanigera
13698,Chlorocebus_sabaeus
14537,Choloepus_didactylus
14815,Chrysochloris_asiatica
15246,Condylura_cristata
15459,Cricetulus_griseus
15639,Dasypus_novemcinctus
15891,Delphinapterus_leucas
16476,Desmodus_rotundus
16862,Dipodomys_spectabilis
16980,Dromiciops_gliroides
17174,Echinops_telfairi
17916,Elephantulus_edwardii
19724,Enhydra_lutris
19977,Equus_asinus
20772,Equus_caballus
21072,Erinaceus_europaeus
22513,Eumetopias_jubatus
23142,Felis_catus
23973,Fukomys_damarensis
24116,Galeopterus_variegatus
25004,Globicephala_melas
25552,Gorilla_gorilla
26301,Gracilinanus_agilis
27266,Grammomys_surdaster
27536,Halichoerus_grypus
28389,Heterocephalus_glaber
28586,Hipposideros_armiger
28736,Hyaena_hyaena
29278,Ictidomys_tridecemlineatus
29667,Jaculus_jaculus
29955,Lagenorhynchus_obliquidens
30497,Leptonychotes_weddellii
30970,Lipotes_vexillifer
31648,Lontra_canadensis
31853,Loxodonta_africana
32950,Lynx_canadensis
33253,Macaca_fascicularis
33920,Macaca_mulatta
34583,Macaca_nemestrina
35384,Mandrillus_leucophaeus
36127,Manis_javanica
36519,Manis_pentadactyla
36967,Marmota_flaviventris
37303,Mastomys_coucha
37441,Meriones_unguiculatus
37530,Mesocricetus_auratus
37838,Microcebus_murinus
37940,Microtus_ochrogaster
38164,Mirounga_leonina
38527,Molossus_molossus
38905,Monodelphis_domestica
40268,Monodon_monoceros
40872,Mus_caroli
41045,Mus_musculus
41200,Mus_pahari
41389,Mustela_erminea
41514,Mustela_putorius
41627,Myotis_brandtii
42186,Myotis_davidii
42638,Myotis_lucifugus
43047,Myotis_myotis
43317,Nannospalax_galili
44089,Neophocaena_asiaeorientalis
44704,Leopardus_geoffroyi
45100,Nomascus_leucogenys
45704,Delphinus_delphis
46342,Mesoplodon_densirostris
46893,Lagenorhynchus_albirostris
47444,Panthera_onca
48098,Dama_dama
48705,Eubalaena_glacialis
49186,Bos_javanicus
49635,Lepus_europaeus
50333,Phocoena_phocoena
50938,Saccopteryx_leptura
51413,Ovis_aries
51921,Prionailurus_bengalensis
52262,Pongo_abelii
53108,Ursus_arctos
53320,Odocoileus_virginianus
53805,Trichechus_manatus
54470,Puma_yagouaroundi
54908,Rhinolophus_ferrumequinum
55166,Ursus_maritimus
55402,Trachypithecus_francoisi
56308,Panthera_leo
56600,Lemur_catta
57403,Peromyscus_leucopus
57616,Pan_paniscus
58422,Theropithecus_gelada
59140,Puma_concolor
59940,Oryx_dammah
60384,Pan_troglodytes
61233,Ursus_americanus
61828,Homo_sapiens
62646,Sapajus_apella
63315,Oryctolagus_cuniculus
63655,Peromyscus_maniculatus
63894,Ornithorhynchus_anatinus
64290,Phascolarctos_cinereus
64510,Panthera_tigris
65423,Rhinopithecus_roxellana
66234,Meles_meles
67739,Marmota_monax
68109,Lynx_rufus
68916,Lutra_lutra
69118,Phacochoerus_africanus
69754,Prionailurus_viverrinus
70259,Myodes_glareolus
70568,Elephas_maximus
71588,Microtus_fortis
71980,Macaca_thibetana
72716,Sciurus_carolinensis
73023,Phodopus_roborovskii
73220,Antechinus_flavipes
77057,Apodemus_sylvaticus
77240,Budorcas_taxicolor
77561,Nycticebus_coucang
78718,Pongo_pygmaeus
79598,Muntiacus_reevesi
80198,Symphalangus_syndactylus
80857,Nyctereutes_procyonoides
81297,Moschus_berezovskii
81780,Psammomys_obesus
81887,Hippopotamus_amphibius
82290,Diceros_bicornis
82674,Neofelis_nebulosa
83437,Chionomys_nivalis
83894,Kogia_breviceps
84404,Mustela_lutreola
84647,Peromyscus_eremicus
84890,Mustela_nigripes
85082,Trichosurus_vulpecula
85305,Pteropus_alecto
85545,Propithecus_coquereli
86093,Suricata_suricatta
86758,Rhinopithecus_bieti
87659,Panthera_pardus
88603,Rousettus_aegyptiacus
89203,Phoca_vitulina
89971,Tachyglossus_aculeatus
90216,Vulpes_vulpes
90691,Phyllostomus_discolor
90861,Saimiri_boliviensis
91438,Physeter_catodon
92201,Rattus_norvegicus
92320,Sus_scrofa
92989,Zalophus_californianus
93286,Vombatus_ursinus
93395,Tursiops_truncatus
93974,Odobenus_rosmarus
94317,Papio_anubis
95048,Talpa_occidentalis
95361,Rattus_rattus
95445,Ochotona_curzoniae
95647,Orycteropus_afer
96137,Pteropus_vampyrus
96316,Ochotona_princeps
97127,Octodon_degus
97807,Vicugna_pacos
98095,Vulpes_lagopus
98438,Urocitellus_parryii
98765,Orcinus_orca
99334,Sorex_araneus
99432,Phocoena_sinus
